ts,state,tier,mode,BC,RL,CI,RH,efficacy,pred_fatigue,mouse_speed,scroll_stress,var_x,var_y,side,hidden,ciliary,blink_supp,tremor,strain,near_secs,break_rem,breaks
1772779588.457,IDLE,0,2,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.00,0.00,0.00,0.00,0.0,1200.0,0
1772779588.723,IDLE,0,2,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.00,0.00,0.00,0.00,0.1,1199.9,0
1772779588.986,TYPING,0,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.02,0.00,0.00,0.01,0.3,1199.7,0
1772779589.238,TYPING,0,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.04,0.00,0.00,0.01,0.5,1199.5,0
1772779589.491,TYPING,0,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.06,0.00,0.00,0.02,0.7,1199.3,0
1772779589.757,TYPING,0,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.07,0.00,0.00,0.03,0.9,1199.1,0
1772779590.020,TYPING,0,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.09,0.00,0.00,0.03,1.2,1198.8,0
1772779590.271,TYPING,0,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.11,0.00,0.00,0.04,1.4,1198.6,0
1772779590.537,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.13,0.00,0.00,0.04,1.6,1198.4,0
1772779590.804,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.15,0.00,0.00,0.05,1.8,1198.2,0
1772779591.068,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.16,0.00,0.00,0.06,2.0,1198.0,0
1772779591.331,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.18,0.00,0.00,0.06,2.3,1197.7,0
1772779591.594,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.20,0.00,0.00,0.07,2.5,1197.5,0
1772779591.844,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.22,0.00,0.00,0.08,2.7,1197.3,0
1772779592.106,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.23,0.00,0.00,0.08,2.9,1197.1,0
1772779592.370,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.25,0.00,0.00,0.09,3.2,1196.8,0
1772779592.637,TYPING,1,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.27,0.00,0.00,0.09,3.4,1196.6,0
1772779592.900,TYPING,2,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.29,0.00,0.00,0.10,3.6,1196.4,0
1772779593.165,TYPING,2,0,100.00,80.00,70.00,100.00,0.8651,100.00,0.0,0.0,0.0,0.0,R,0,0.31,0.00,0.00,0.11,3.8,1196.2,0
